U_G2K (V),I_A (¡Á10__A)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,0
9.5,0.0005
10,0.036
10.5,0.113
11,0.219
11.5,0.334
12,0.445
12.5,0.552
13,0.641
13.5,0.669
14,0.745
14.5,0.797
15,0.883
15.5,0.883
16,0.848
16.5,0.837
17,0.819
17.5,0.774
18,0.717
18.5,0.647
19,0.571
19.5,0.479
20,0.48
20.5,0.351
21,0.294
21.5,0.251
22,0.225
22.5,0.221
23,0.261
23.5,0.375
24,0.556
24.5,0.762
25,0.967
25.5,1.147
26,1.294
26.5,1.4
27,1.488
27.5,1.546
28,1.559
28.5,1.532
29,1.443
29.5,1.317
30,1.149
30.5,0.962
31,0.771
31.5,0.545
32,0.451
32.5,0.347
33,0.285
33.5,0.289
34,0.273
34.5,0.361
35,0.556
35.5,0.833
36,1.144
36.5,1.448
37,1.7
37.5,1.959
38,2.118
38.5,2.278
39,2.389
39.5,2.439
40,2.417
40.5,2.37
41,2.258
41.5,2.086
42,1.858
42.5,1.589
43,1.321
43.5,1.054
44,0.838
44.5,0.674
45,0.565
45.5,0.516
46,0.458
46.5,0.458
47,0.831
47.5,1.139
48,1.481
48.5,1.808
49,2.153
49.5,2.682
50,2.775
50.5,3.027
51,3.222
51.5,3.388
52,3.489
52.5,3.522
53,3.508
53.5,3.428
54,3.282
54.5,3.074
55,2.811
55.5,2.499
56,2.197
56.5,1.909
57,1.652
57.5,1.449
58,1.376
58.5,1.553
59,1.769
59.5,2.074
60,2.426
60.5,2.791
61,3.16
61.5,3.508
62,3.88
62.5,4.108
63,4.378
63.5,4.602
64,4.768
64.5,5.033
65,5.208
65.5,5.038
66,4.937
66.5,4.774
67,4.556
67.5,4.296
68,4.007
68.5,3.705
69,3.418
69.5,3.197
70,3.084
70.5,3.061
71,3.13
71.5,3.297
72,3.586
72.5,3.805
73,4.121
73.5,4.463
74,4.885
74.5,5.164
75,5.505
75.5,5.806
76,6.11
76.5,6.364
77,6.573
77.5,6.714
78,6.893
78.5,6.861
79,6.861
79.5,6.8
80,6.739
